ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
6.721,0.2592,-0.0322,1.1323,-4.2214,-0.2137,-5.2901
6.742,0.2483,-0.0306,1.1381,-4.6565,1.5344,-6.0687
6.761,0.2693,0.0099,1.1449,-3.5878,2.2901,1.9542
6.781,0.2913,-0.02,1.0977,3.5573,0.5191,6.8168
6.801,0.2751,-0.0236,1.1376,8.4427,-1.8931,4.7863
6.821,0.2513,-0.037,1.1544,-4.9313,1.5267,-5.2901
6.841,0.2404,-0.0397,1.1451,-9.3053,4.5267,-11.084
6.861,0.257,-0.0394,1.1349,-10.8244,5.5649,-8.9847
6.881,0.2876,-0.0239,1.1171,0.0229,1.6183,-7.6718
6.901,0.2811,0.0143,1.1149,28.8092,-4.4351,-1.1756
6.921,0.2443,0.0072,1.1426,39.7634,-4.3588,-6.0763
6.941,0.2384,-0.0083,1.1715,29.6031,-2.1603,-9.2977
6.961,0.2556,-0.0332,1.1691,-0.0382,1.7405,-14.5496
6.981,0.2555,0.0127,1.1664,4.8473,-0.4656,-9.1145
7.001,0.2826,0.0344,1.1665,1.4351,-8.2824,6.3817
7.021,0.3411,0.0287,1.108,-2.9618,-9.4351,-0.8931
7.041,0.3002,0.0277,1.1143,4.8931,-13.7252,-7.2672
7.061,0.2644,0.0259,1.1085,0.687,-8.6183,-16.3053
7.081,0.2905,0.025,1.0773,-6.0916,-9.9389,-16.7328
7.101,0.3191,0.0391,1.0519,6.9313,-9.0534,-14.2366
7.121,0.2454,0.056,1.1031,8.8626,-2.0382,-14.4656
7.141,0.2936,0.0819,1.1158,13.229,2.687,-3.145
7.161,0.3153,0.0712,1.1202,9.2748,2.4275,-2.8626
7.181,0.3287,0.0775,1.1301,-1.5191,1.7939,-3.0153
7.201,0.3024,0.0826,1.1311,0.8779,-0.4275,-2.3053
7.221,0.3091,0.094,1.1202,-7.2137,-3.0611,-1.5954
7.241,0.292,0.0822,1.1398,-4.8473,-3.855,0.8321
7.261,0.2839,0.0865,1.127,-6.8702,-3.6031,1.7557
7.281,0.2712,0.064,1.1144,-4.5725,-3.5954,3.4733
7.301,0.2614,0.036,1.1547,-2.3359,-2.7099,9.4656
7.321,0.2744,0.0266,1.1342,-38.7863,-0.6183,8.9466
7.341,0.3224,0.0519,1.1097,-26.5802,-4.4809,8.6641
7.361,0.2802,0.0032,1.1091,-8.9924,-3.9771,12.9542
7.382,0.2798,-0.016,1.1465,-20.2137,-3.1679,5.8779
7.401,0.3041,-0.0342,1.0984,-70.458,8.2366,11.1298
7.421,0.2917,-0.0258,1.1178,-96.8473,-0.9389,2.2901
7.441,0.3037,-0.0455,1.1041,-57.8168,-0.7863,15.3588
7.461,0.2979,-0.0854,1.1263,-25.9771,1.4504,19.7252
7.481,0.2201,-0.0696,1.1313,-26.2214,-2.4809,17.5573
7.501,0.2406,-0.1372,1.155,-76.8855,8.1527,15.1908
7.521,0.326,-0.12,1.0857,-63.145,4.1756,10.5573
7.541,0.3134,-0.1334,1.0555,-38.687,6.5878,13.6794
7.561,0.2794,-0.1403,1.0779,-24.7557,7.6412,13.2595
7.581,0.2627,-0.1503,1.1305,-4.2901,11.2061,9.0076
7.601,0.2714,-0.1459,1.1023,5.4198,13.5038,5.5878
7.621,0.2672,-0.1313,1.114,3.0458,15.8779,-1.2519
7.641,0.2634,-0.1121,1.0902,15.7939,15.855,2.1145
7.661,0.2382,-0.1284,1.0818,33.0687,20.1908,8.0916
7.681,0.2488,-0.1285,1.0978,20.5802,17.0382,0.145
7.701,0.2291,-0.1176,1.1754,12.5954,31.1298,-8.2061
7.721,0.2365,-0.0868,1.1665,0.3893,19.0763,-7.7863
7.741,0.2545,-0.09,1.0812,15.3435,17.5725,-3.8931
7.761,0.243,-0.1138,1.1316,18.0763,25.6031,-0.2824
7.781,0.2219,-0.099,1.1968,-3.5038,19.0,-7.084
7.801,0.2023,-0.0712,1.1919,-7.7557,14.1298,-6.2748
7.821,0.2399,-0.0422,1.1135,2.8626,10.8473,-0.5191
7.841,0.2183,-0.0841,1.1299,10.9924,12.2519,5.6336
7.861,0.2002,-0.0808,1.1963,17.6947,11.3206,12.7939
7.881,0.1749,-0.0852,1.191,11.9237,7.8702,9.7634
7.901,0.2219,-0.0789,1.1099,4.0305,6.7557,-0.2672
7.921,0.2024,-0.1046,1.1183,0.0687,6.8015,-2.6794
7.941,0.1708,-0.0984,1.1572,-4.1908,8.5191,-5.7405
7.961,0.1719,-0.0503,1.1421,11.5573,10.6489,-8.0305
7.981,0.2109,-0.0363,1.1062,-8.6718,7.8473,-0.0534
8.001,0.1597,-0.1133,1.1078,-7.7634,5.6031,-1.084
